Year,Town,"Fire District","Tax Rate","FD Rate","Total Rate","Tax Base"
2016,57019409.27,0,24.09,0,24.09,2366932721.876297
2015,55443801.83,0,23.68,0,23.68,2341376766.4695945
2014,53345987.62,0,23.26,0,23.26,2293464644.0240755
2013,51845788.74,0,22.9,0,22.9,2264008241.9213977
2012,45381128.26,4515725.97,20.14,2.0040647846995596,22.14406478469956,2049358539.2396472
2011,44015849.9,4283936.07,17.49,1.7022513943164823,19.192251394316482,2293417744.258742
2010,43145369.48,4089627.47,17.25,1.6350786818548761,18.885078681854875,2284627467.3695087
2009,41524344.42,4043437.77,16.64,1.6203218962896755,18.260321896289675,2274020395.4694443
2008,39575718.86,4118991.46,14,1.4571025391602956,15.457102539160296,2560358175.7794266
2007,37726180,3781609.28,13.54,1.3572269880279422,14.897226988027942,2532429695.158595
2006,35309164.28,3789535.09,12.86,1.3801918638160413,14.24019186381604,2479542734.9346094
2005,34598256.49,3670147.43,18.33,1.9444275295012126,20.27442752950121,1706497332.151858
2004,32745056.79,3114944,17.91,1.7037272953222447,19.613727295322246,1669496893.5256634
2003,31034832.44,2749912.71,17.14,1.5187291228500668,18.65872912285007,1663287581.681743
2002,29087640.56,2421471,27.58,2.2959638146738706,29.87596381467387,973613461.9935951
2001,28495352.4,2254678.64,27.59,2.1830431434706528,29.77304314347065,957085651.697957
2000,27280262.14,2447899.93,26.79,2.403907953235672,29.193907953235673,934450508.7739178
1999,24831179.38,2390575,,,,
1998,23610646.79,2239369,,,,
1997,22193961.76,2269697.4,,,,
1996,21236147.71,2185933.04,,,,
1995,20863957.27,2216157.64,,,,
1994,19857248.68,2065485.35,,,,
1993,18625795.08,1796411.79,,,,
1992,17372127.18,1744031.21,,,,
1991,16763015.68,1600493.71,,,,
1990,15740762.04,1557003,,,,
1989,14941605.7,1486512.77,,,,
1988,13171368.44,1222298.31,,,,
1987,11622935.2,1127621.32,,,,
